guid,date,president,field_strike_type,village,province,leader_names,leaders_desc,militants_low,militants_high,civilians_low,civilians_high,unknown_low,unknown_high,total_low,total_high,total_avg,nation_responsible,target,target_org,notes,sources,lat,lon
052 2012,2012-10-28T00:00:00Z,Obama,Drone Strike,Jbara,Sadah,,,3,4,,,,,3,4,4,United States,House,AQAP,This was the first report of an attack by a pilotless plane in the area near the Saudi border in northern Yemen.,AFP: http://www.dailystar.com.lb/News/Middle-East/2012/Oct-28/192977-drone-strike-kills-three-qaeda-suspects-in-yemen-tribal-source.ashx#axzz2AbhjTP00<br>Xinhua: http://www.china.org.cn/world/2012-10/29/content_26930251.htm<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=6152&MainCat=3<br>Reuters: http://www.moneycontrol.com/news/wire-news/drone-hits-suspected-al-qaeda-targetnorth-yemen_774352.html<br>,16.91379929,43.77700043
051 2012,2012-10-21T00:00:00Z,Obama,Drone Strike,Marib,Marib,Sanad Abdulla al-Aqili,al-Qaeda member,3,4,,,,,3,4,4,United States,Vehicle,AQAP,,AP: http://www.foxnews.com/world/2012/10/21/yemeni-officials-say-4-suspected-militants-killed-in-apparent-us-drone-strike/<br>Reuters: http://uk.reuters.com/article/2012/10/21/uk-yemen-drones-idUKBRE89K0D520121021<br>Yemen Observer: http://www.yobserver.com/front-page/10022343.html<br>Yemen Post: http://www.yemenpost.net/Detail123456789.aspx?ID=3&SubID=6127&MainCat=3,15.53999996,45.30179977
050 2012,2012-10-18T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,Nader al-Shaddadi,One of the top al-Qaeda leaders in the region,7,9,,,,,7,9,8,United States,Unclear,AQAP,,NYT: http://www.nytimes.com/2012/10/19/world/middleeast/yemen-drone-strike-al-qaeda.html?_r=0<br>AFP: http://www.google.com/hostednews/afp/article/ALeqM5jOUybeLa3UuIYYuWEG0LzwdszY4w?docId=CNG.70ae9a0f8e3fc1f13806e6b450fa7d73.501<br>Yemen Post: http://www.yemenpost.net/Detail123456789.aspx?ID=3&SubID=6113&MainCat=3<br>AP: http://www.usatoday.com/story/news/world/2012/10/18/drone-yemen-us/1640725/,13.22340012,45.30879974
049 2012,2012-10-04T00:00:00Z,Obama,Drone Strike,Al Saeed,Shabwah,,,4,5,,,,,4,5,5,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/10/04/us-yemen-violence-idUSBRE8930L520121004<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=6061<br>Xinhua: http://news.xinhuanet.com/english/world/2012-10/04/c_131888115.htm<br>CNN: http://edition.cnn.com/2012/10/04/world/meast/yemen-drone-strike/index.html,14.87699986,46.53699875
048 2012,2012-09-10T00:00:00Z,Obama,Drone Strike,Al Ain,Hadramaut,,,7,16,,,,,7,16,12,United States,House,AQAP,"Reports suggested AQAP #2 Said al-Shiri was among the dead but, Asharq al Awsat said DNA tests revealed the body was not him: http://www.asharq-e.com/news.asp?section=1&id=31093<br>",CNN: http://edition.cnn.com/2012/09/10/world/meast/yemen-al-qaeda/<br>ABC: http://abcnews.go.com/Blotter/gitmo-detainee-turned-terror-commander-killed-reports/story?id=17202453#.UOotOYnjn7B<br>Reuters: http://www.reuters.com/article/2012/09/10/us-yemen-qaeda-idUSBRE8890N420120910<br>,16.01009941,47.66859818
047 2012,2012-09-08T00:00:00Z,Obama,Drone Strike,Rada'a,Al Bayda,Abdulraoof Ahmad Nasser al-Thahab,al-Qaeda leader in Rada'a,4,4,,,,,4,4,4,United States,Vehicle,AQAP,This drone strike was reported by only one source.<br>,Yemen Observer: http://www.yobserver.com/front-page/10022261.html,14.41187,44.836514
046 2012,2012-09-05T00:00:00Z,Obama,Drone Strike,Al Ain,Hadramaut, Murad Ben Salem,Senior al-Qaeda member,5,6,,,,,5,6,6,United States,House,AQAP,,Reuters: http://uk.reuters.com/article/2012/09/05/uk-yemen-qaeda-idUKBRE8840PT20120905<br>CNN: http://edition.cnn.com/2012/09/05/world/meast/yemen-drone-strike/index.html<br>AFP: http://www.naharnet.com/stories/en/52468-drone-strike-in-yemen-kills-5-qaida-militants<br>AP: http://www.guardian.co.uk/world/feedarticle/10424206,13.78206016,45.88439636
045 2012,2012-09-02T00:00:00Z,Obama,Drone Strike,Rada'a,Al Bayda,,,5,5,,,,,5,5,5,United States,Vehicle,AQAP,This drone strike was reported by only one source.<br>,Reuters: http://articles.chicagotribune.com/2012-09-02/news/sns-rt-us-yemen-violencebre88106s-20120902_1_drone-strike-militants-from-ansar-al-sharia-hadramout ,14.4133997,44.83520126
044 2012,2012-08-31T00:00:00Z,Obama,Drone Strike,Hawra,Hadramaut,,,5,8,,,,,5,8,7,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/08/31/us-yemen-drone-idUSBRE87U0OG20120831<br>Yemen Post: http://www.yemenpost.net/Detail123456789.aspx?ID=3&SubID=5911&MainCat=3,15.70765395,48.30688171
043 2012,2012-08-29T00:00:00Z,Obama,Drone Strike,Al Qatn ,Hadramaut,,,3,5,,,2,2,5,7,6,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/08/29/us-yemen-drone-idUSBRE87S1B920120829<br>AP: http://www.fox8live.com/story/19411199/officials-5-killed-in-drone-attack-in-east-yemen?clienttype=printable<br>Xinhua: http://news.xinhuanet.com/english/world/2012-08/30/c_123647629.htm<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5906&MainCat=3<br>AP: http://www.huffingtonpost.com/2013/05/02/us-drone-strikes-in-yemen_n_3203108.html<br>NYTimes: http://www.nytimes.com/2013/02/06/world/middleeast/with-brennan-pick-a-light-on-drone-strikes-hazards.html?pagewanted=all&_r=1&,15.46955448,48.60076599
