name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,lat,lon,desc
Estonia,233,EST,0,0,1,1,United States of America,Georgia,58.6708374,25.53595675,"Estonia has drones in the form of military aid from the U.S. for use in Afghanistan There are reports that Estonia plans to purchase surveillance drones, such as the RQ-4 Global Hawk UAV, within the next few years. They have domestically produced UAS Swan III by ELI Military Simulations, which are also exported to Georgia.,"
Ethiopia,231,ETH,0,0,1,1,Israel,none,8,38,"Ethiopia has domestically developed and produced drones but has also imported drones from Israel. ,, The U.S. is operating drones bases out of Ethiopia. ,"
Finland,246,FIN,0,0,1,1,Israel,none,62.52242187,26.17909626,"Finland has domestic production of drones but has also imported from Israel. ,"
France,250,FRA,0,1,1,1,"Israel, Canada, United States of America","Greece, Denmark",47.01047927,2.1591001,"France has domestic production of drones but also  imports from Israel and Canada. Collaboration with Britain, Sweden, Spain, Greece; and with Germany and Canada in producing drones. Imports from the U.S. include Reaper drones. France deployed two of the recently purchased unarmed Reaper drones to Niger to support the mission in Mali. France has joined with Germany, Greece, Italy, Netherlands, Poland, and Spain to create a drone users club intended to compete with Israeli and U.S. drones markets.  Morocco is considering purchasing Franceês surplus Israeli Drones."
Germany,276,DEU,0,0,1,1,"Israel, United States of America",Thailand,51.10621317,10.38154835,"Germany has domestic production of drones but has also leased drones from Israel for use in Afghanistan,, and imported from the United States. They recently cancelled a $1.3 billion purchase from the U.S.  Germany has joined with France, Greece, Italy, Netherlands, Poland and Spain to create a –drones users club” intended to compete with Israeli and U.S. drones markets."
Georgia,268,GEO,0,0,1,1,"Estonia, Israel",none,41.43,44.5,"Georgia has domestic production of drones,  and imported drones from Israel,,  and Estonia. ,"
Greece,300,GRC,0,0,1,1,France,none,39.05121967,22.9751402,"Greece has domestic production of drones and some reports indicate they import from France.,,  Greece is a member of the drones •clubê with France, Germany, Italy, the Netherlands, Poland, and Spain for the joint production of Medium Altitude Long Endurance drones."
Hungary,348,HUN,0,0,1,1,Israel,none,47.16324369,19.39675927,Hungary has domestic production of Drones.  There are reports that Hungary has also imported drones from Israel (Elbit Skylark).
India,356,IND,0,0,1,1,Israel,none,22.88736601,79.61221374," India has domestic production of drones, but has also imported drones from Israel (Searcher drones, Heron drones, Harpy Killer UCAV) and in cooperation with Israel to import and develop the Rustom-1 & 2 MALE, Pawan, and Gagan. The Defence Research and Development Organization, an agency of the Republic of India, is continuing development on the AURA drones, a combat designed drones set for release as late as 2020., Officials announced that they would soon be equipping drones with precision guided munitions. There was a recent request for 49 hand-held mini drones for troops."
Indonesia,360,IDN,0,0,1,1,Israel,none,-4.200896923,119.9640095,Indonesia has imported drones from Israel. Officials announced that the domestically produced Wulung drones will be mass-produced. 
Iran,364,IRN,0,1,1,1,none,"Chile, Venezuela",32.57202709,54.27628645,"Iran has domestic production of drones.   In August 2010, Iran unveiled the –Karar” drone, which President Mahmoud Ahmadinejad called an –ambassador of death,” and which reportedly can carry up to four cruise missiles with a range of over 600 miles. Iranian-made Ababil drones (which function more as cruise missiles) have been used by Hezbollah. There is also domestic production of drones of short-range reconnaissance such as the Yasseer drones and  Shahad-129 drones capable of 1,700 Km range carrying up to 8 missiles. In November 2013, they released Fotros drones with a 2,000 km range. Officials claimed to have reproduced a U.S. drones that was downed in Iran."
Iraq,368,IRQ,0,0,1,0,United States of America,none,32.96044756,42.97784766,"Iraq has imported from U.S. and Iraq's navy has purchased U.S. drones to protect the country's oil platforms in the South, from where most of Iraq's oil is shipped. Imported ScanEagle drones from U.S. for surveillance against terror fight. "
Israel,376,ISR,1,0,1,1,none,"Algeria, Angola, Australia, Azerbaijan, Botswana, Brazil, Canada, Chile, China, Columbia, Croatia, Ecuador, Ethiopia, Finland, France, Germany, Georgia, Hungary, India, Indonesia, Ivory Coast, Kazakhstan, Mexico, Nigeria, Philippines, Russia, Singapore, Slovakia, South Korea, Spain, Sri Lanka, Thailand, Turkey, Uganda, Ukraine, United Kingdom, United States of America",30.94244559,34.86974755,"Israel has domestic production of drones and imports drone engines from the United Kingdom.  Israel refuses to release the full list of countries to which it has sold military arms, totaling nearly $7 Billion. Israel is the largest exporter of drones in the world, responsible for 41 percent of all drones exported between 2001 and 2011, according to a database compiled by the Stockholm International Peace Research Institute. Israel continues to lead the World in drone exports, exporting nearly $4.6 Billion worth of systems between 2005 and 2012, as reported by U.S. consulting firm Frost & Sullivan."
